,Name,Country,MMSI,Type,Size,DWT,Year,Area
0,ATLANTIS,Belgium,205231000,Stone Carrier,1760,2520,1997,Persian Gulf
1,STAR GENESIS,Marshall Is,538007355,Bulk Carrier,7328,80705,2010,North Sea
2,GAS ARMA,Djibouti,621819052,Lpg Tanker,1955,6758,1994,Gulf of Oman
3,POURQUOIPAS,France,228207600,Research/Survey Vessel,2140,1250,2005,Mediterranean Sea - Western Basin
4,IONIC ASPIS,Marshall Is,538007962,Crude Oil Tanker,10248,107508,2011,English Channel
5,GH CURIE,Marshall Is,538009444,Container Ship,6480,38060,2008,North Pacific Ocean
6,ATLANTIS,Belgium,205231000,Stone Carrier,1760,2520,1997,Persian Gulf
7,STAR GENESIS,Marshall Is,538007355,Bulk Carrier,7328,80705,2010,North Sea
8,GAS ARMA,Djibouti,621819052,Lpg Tanker,1955,6758,1994,Gulf of Oman
9,POURQUOIPAS,France,228207600,Research/Survey Vessel,2140,1250,2005,Mediterranean Sea - Western Basin
10,IONIC ASPIS,Marshall Is,538007962,Crude Oil Tanker,10248,107508,2011,English Channel
11,GH CURIE,Marshall Is,538009444,Container Ship,6480,38060,2008,North Pacific Ocean
12,NORDIC SAGA,Norway,257942000,Oil/Chemical Tanker,1246,4053,2007,North Sea
13,VB BALEAR,Spain,224494000,Tug,224,190,1998,North Atlantic Ocean
14,SAVVY,Singapore,565446000,Oil Products Tanker,2400,10327,2005,Singapore Strait
15,CAPTAIN KANG,Togo,671799000,General Cargo,2340,10279,2005,Japan Sea
16,FAR SYMPHONY,Norway,257132000,Offshore Supply Ship,1634,4929,2003,North Sea
17,MAMORA,Palau,511933000,Suction Hopper Dredger,897,1490,1973,Black Sea
18,KINGS BAY,Norway,258654000,Fishing Vessel,1232,3000,2013,Norwegian Sea
19,TUNDRALAND,Sweden,266247000,Ro-Ro Cargo,4940,14200,2007,Skaggerak
20,FLIPPER 7,Guinea-Bissau,630123006,Trawler,882,699,1987,North Atlantic Ocean
21,PELLWORM 1,Germany,211255580,Ro-Ro/Passenger Ship,720,310,1997,North Sea
22,GRETE FIGHTER,Denmark,219000558,Backhoe Dredger,564,510,1980,North Sea
23,VOLCAN DE TAMADABA,Spain,224957000,Ro-Ro/Passenger Ship,3720,3350,2007,North Atlantic Ocean
24,MOROZ,Russia,273136900,Passengers Ship,161,14,1989,Barentsz Sea
25,SERENITY ACE,Bahamas,311002800,Vehicles Carrier,6400,21004,2008,North Pacific Ocean
26,SEA EXPLORER,Cyprus,210112000,General Cargo,1980,9386,2012,North Sea
27,STENA SUPERFAST VIII,United Kingdom,235089436,Ro-Ro/Passenger Ship,5075,5990,2001,Inner Seas off the West Coast of Scotland
28,LANGEVIN,France,227148000,Research/Survey Vessel,728,1334,1980,Celtic Sea
29,WATERSTRAAT,Netherlands,246758000,Tug,310,149,2008,North Sea
30,SCHALL,Germany,211236290,Research/Survey Vessel,400,29,1962,North Sea
31,SCHOKLAND,Netherlands,246655000,General Cargo,1260,3300,2010,North Sea
32,TIDAN,Faroe Is,231840000,General Cargo,1144,4250,1990,Kattegat
33,FLOATEL SUPERIOR,Bermuda,310588000,Accommodation Platform,5760,17702,2010,North Sea
34,ANMI,Bahamas,311938000,General Cargo,1260,4245,1992,Norwegian Sea
35,RAMFORM VALIANT,Bahamas,311783000,Research/Survey Vessel,3440,5082,1998,North Sea
36,REINAUER TWINS,USA,367496470,Articulated Pusher Tug,3696,1164,2011,North Atlantic Ocean
37,ALTAI,Marshall Is,538004508,Crude Oil Tanker,10956,115952,2011,Black Sea
38,SAKIZAYA BRAVE,Panama,351170000,Bulk Carrier,7200,74940,2013,Mediterranean Sea - Eastern Basin
39,BONACIEUX,Gibraltar,236553000,General Cargo,1118,3171,2009,Adriatic Sea
40,HAV PIKE,Antigua Barbuda,304036000,General Cargo,1144,3718,1994,North Sea
41,RAY 3,Luxembourg,253466000,Bulk Carrier,138,56726,2010,Mediterranean Sea - Western Basin
42,HERBADI DOS,Spain,224229000,Trawler,296,217,1999,North Atlantic Ocean
43,MARGUERITE ACE,Panama,372158000,Vehicles Carrier,6400,17237,2009,North Sea
44,YASMINE,Malta,249594000,Ro-Ro Cargo,6060,17023,2007,North Sea
45,SEVIL,Vanuatu,577528000,General Cargo,1600,5263,1997,Sea of Marmara
46,BERGE KINABALU,United Kingdom,235101105,Bulk Carrier,13005,177173,2003,North Sea
47,AASVIK,Portugal,255752000,General Cargo,1856,7566,2011,North Sea
48,ATLANTIC GREEN,Malta,249037000,Container Ship,2948,11432,2006,North Atlantic Ocean
49,HARUN,Cyprus,209531000,General Cargo,1554,6000,2008,North Sea
50,ELENA VE,Liberia,636014709,Bulk Carrier,7200,75750,2010,Barentsz Sea
51,LADY MARIELLA,Italy,247430200,Oil/Chemical Tanker,5124,39316,2013,Ionian Sea
52,REGINA OLDENDORFF,Liberia,636092979,Bulk Carrier,11180,118000,2011,Indian Ocean
53,SCHENGE,Netherlands,244146000,General Cargo,1395,4985,1996,North Sea
54,MOSEL ACE,Liberia,636019661,Vehicles Carrier,5456,12743,2000,North Atlantic Ocean
55,FAIRPLAY XIV,Netherlands,246517000,Tug,300,188,2009,North Sea
56,HACI MEHMET KAPTAN,Turkey,271002044,General Cargo,1079,3270,1984,Sea of Marmara
57,COLOMBIAN STAR,Liberia,636014240,Reefer,4440,10371,1998,North Sea
58,BBC CORAL,Antigua Barbuda,305853000,General Cargo,3519,14487,2012,Indian Ocean
59,NSU OBELISK,Japan,431113000,Bulk Carrier,15000,207000,2014,North Pacific Ocean
60,MAERSK LAMANAI,Hong Kong,477182800,Container Ship,13500,99865,2013,North Atlantic Ocean
61,HIYODORI,Japan,431000132,Container Ship,1232,1830,2007,North Pacific Ocean
62,YM MIRANDA,Malta,229370000,Oil/Chemical Tanker,2700,12933,2013,Mediterranean Sea - Eastern Basin
63,NAVAHO,Malta,248681000,General Cargo,2240,3802,1999,Sea of Marmara
64,ASPIRE I,Cook Is,518100889,Oil Products Tanker,1989,7639,2005,Gulf of Oman
65,SEA WATCH 3,Germany,211281610,Offshore Supply Ship,550,498,1973,Balearic Sea
